 ---------------------------------------------------- --------------------- -------- ------ --------------------------------------------------------------- 
  Name                                                 Method                Scheme   Host   Path                                                           
  app_api_workflow_collections_upsert                  POST                  ANY      ANY    /api/3/bulkupsert/workflow_collections                         
  app_api_module_upsert                                POST                  ANY      ANY    /api/3/bulkupsert/{resourceShortName}                          
  app_api_bulk_create                                  POST                  ANY      ANY    /api/3/insert/{moduleType}                                     
  app_api_files_GET                                    GET                   ANY      ANY    /api/3/files/{uuid}                                            
  app_api_files_create                                 POST                  ANY      ANY    /api/3/files                                                   
  app_api_files_delete                                 DELETE                ANY      ANY    /api/3/files/{uuid}                                            
  app_widgets_development                              GET                   ANY      ANY    /api/3/widgets/development/{uuid}                              
  app_widgets_list                                     GET                   ANY      ANY    /api/3/widgets                                                 
  app_widgets_detail                                   POST                  ANY      ANY    /api/3/widgets/detail                                          
  app_widgets_create                                   POST                  ANY      ANY    /api/3/widgets                                                 
  app_widgets_files_get                                GET                   ANY      ANY    /api/3/widgets/{uuid}/files                                    
  app_widgets_files_put                                PUT                   ANY      ANY    /api/3/widgets/{uuid}/files                                    
  app_widgets_files_post                               POST                  ANY      ANY    /api/3/widgets/{uuid}/files                                    
  app_widgets_files_delete                             DELETE                ANY      ANY    /api/3/widgets/{uuid}/files                                    
  app_widgets_folders_put                              PUT                   ANY      ANY    /api/3/widgets/{uuid}/folders                                  
  app_widgets_folders_post                             POST                  ANY      ANY    /api/3/widgets/{uuid}/folders                                  
  app_widgets_folders_delete                           DELETE                ANY      ANY    /api/3/widgets/{uuid}/folders                                  
  app_widgets_revert                                   PUT                   ANY      ANY    /api/3/widgets/revert/{id}                                     
  app_widgets_clone                                    POST                  ANY      ANY    /api/3/widgets/clone                                           
  app_widgets_import                                   POST                  ANY      ANY    /api/3/widgets/import                                          
  app_widgets_installed                                GET                   ANY      ANY    /api/3/widgets/installed                                       
  app_widgets_install_repo                             POST                  ANY      ANY    /api/3/widgets/install                                         
  app_solution_pack_install                            POST                  ANY      ANY    /api/3/solutionpacks/install                                   
  app_solution_pack_preview                            POST                  ANY      ANY    /api/3/solutionpacks/preview                                   
  app_solution_pack_delete                             DELETE                ANY      ANY    /api/3/solutionpacks/{uuid}                                    
  app_solution_pack_update                             POST                  ANY      ANY    /api/3/solutionpacks/update                                    
  app_solution_pack_syncAction                         GET                   ANY      ANY    /api/3/solutionpack/sync                                       
  app_solution_pack_tagsAction                         GET                   ANY      ANY    /api/3/{moduletype}/tags                                       
  app_widgets_export                                   POST                  ANY      ANY    /api/3/widgets/export/{id}                                     
  app_action_workflows                                 GET                   ANY      ANY    /api/workflows/actions                                         
  app_api_bulk_delete                                  DELETE                ANY      ANY    /api/3/delete/{moduletype}                                     
  app_fsr_delete_query                                 DELETE                ANY      ANY    /api/3/delete-with-query/{resourceShortName}                   
  app_post_action_trigger_workflows                    POST                  ANY      ANY    /api/triggers/1/action/{workflowid}                            
  app_post_no_trigger                                  POST|GET              ANY      ANY    /api/triggers/1/notrigger/{workflowId}                         
