
URL                                                                     | Module                                          | Name                                                 | Decorator
/wf/admin/django_celery_beat/crontabschedule/<path:object_id>/delete/   | django.contrib.admin.options.delete_view        | admin:django_celery_beat_crontabschedule_delete      | 
/wf/admin/django_celery_beat/crontabschedule/<path:object_id>/history/  | django.contrib.admin.options.history_view       | admin:django_celery_beat_crontabschedule_history     | 
/wf/admin/django_celery_beat/crontabschedule/add/                       | django.contrib.admin.options.add_view           | admin:django_celery_beat_crontabschedule_add         | 
/wf/admin/django_celery_beat/intervalschedule/                          | django.contrib.admin.options.changelist_view    | admin:django_celery_beat_intervalschedule_changelist | 
/wf/admin/django_celery_beat/intervalschedule/<path:object_id>/         | django.views.generic.base.RedirectView          |                                                      | 
/wf/admin/django_celery_beat/intervalschedule/<path:object_id>/change/  | django.contrib.admin.options.change_view        | admin:django_celery_beat_intervalschedule_change     | 
/wf/admin/django_celery_beat/intervalschedule/<path:object_id>/delete/  | django.contrib.admin.options.delete_view        | admin:django_celery_beat_intervalschedule_delete     | 
/wf/admin/django_celery_beat/intervalschedule/<path:object_id>/history/ | django.contrib.admin.options.history_view       | admin:django_celery_beat_intervalschedule_history    | 
/wf/admin/django_celery_beat/intervalschedule/add/                      | django.contrib.admin.options.add_view           | admin:django_celery_beat_intervalschedule_add        | 
/wf/admin/django_celery_beat/periodictask/                              | django_celery_beat.admin.changelist_view        | admin:django_celery_beat_periodictask_changelist     | 
/wf/admin/django_celery_beat/periodictask/<path:object_id>/             | django.views.generic.base.RedirectView          |                                                      | 
/wf/admin/django_celery_beat/periodictask/<path:object_id>/change/      | django.contrib.admin.options.change_view        | admin:django_celery_beat_periodictask_change         | 
/wf/admin/django_celery_beat/periodictask/<path:object_id>/delete/      | django.contrib.admin.options.delete_view        | admin:django_celery_beat_periodictask_delete         | 
/wf/admin/django_celery_beat/periodictask/<path:object_id>/history/     | django.contrib.admin.options.history_view       | admin:django_celery_beat_periodictask_history        | 
/wf/admin/django_celery_beat/periodictask/add/                          | django.contrib.admin.options.add_view           | admin:django_celery_beat_periodictask_add            | 
/wf/admin/django_celery_beat/solarschedule/                             | django.contrib.admin.options.changelist_view    | admin:django_celery_beat_solarschedule_changelist    | 
/wf/admin/django_celery_beat/solarschedule/<path:object_id>/            | django.views.generic.base.RedirectView          |                                                      | 
/wf/admin/django_celery_beat/solarschedule/<path:object_id>/change/     | django.contrib.admin.options.change_view        | admin:django_celery_beat_solarschedule_change        | 
/wf/admin/django_celery_beat/solarschedule/<path:object_id>/delete/     | django.contrib.admin.options.delete_view        | admin:django_celery_beat_solarschedule_delete        | 
/wf/admin/django_celery_beat/solarschedule/<path:object_id>/history/    | django.contrib.admin.options.history_view       | admin:django_celery_beat_solarschedule_history       | 
/wf/admin/django_celery_beat/solarschedule/add/                         | django.contrib.admin.options.add_view           | admin:django_celery_beat_solarschedule_add           | 
/wf/admin/django_celery_results/groupresult/                            | django.contrib.admin.options.changelist_view    | admin:django_celery_results_groupresult_changelist   | 
/wf/admin/django_celery_results/groupresult/<path:object_id>/           | django.views.generic.base.RedirectView          |                                                      | 
/wf/admin/django_celery_results/groupresult/<path:object_id>/change/    | django.contrib.admin.options.change_view        | admin:django_celery_results_groupresult_change       | 
/wf/admin/django_celery_results/groupresult/<path:object_id>/delete/    | django.contrib.admin.options.delete_view        | admin:django_celery_results_groupresult_delete       | 
/wf/admin/django_celery_results/groupresult/<path:object_id>/history/   | django.contrib.admin.options.history_view       | admin:django_celery_results_groupresult_history      | 
/wf/admin/django_celery_results/groupresult/add/                        | django.contrib.admin.options.add_view           | admin:django_celery_results_groupresult_add          | 
/wf/admin/django_celery_results/taskresult/                             | django.contrib.admin.options.changelist_view    | admin:django_celery_results_taskresult_changelist    | 
/wf/admin/django_celery_results/taskresult/<path:object_id>/            | django.views.generic.base.RedirectView          |                                                      | 
/wf/admin/django_celery_results/taskresult/<path:object_id>/change/     | django.contrib.admin.options.change_view        | admin:django_celery_results_taskresult_change        | 
/wf/admin/django_celery_results/taskresult/<path:object_id>/delete/     | django.contrib.admin.options.delete_view        | admin:django_celery_results_taskresult_delete        | 
/wf/admin/django_celery_results/taskresult/<path:object_id>/history/    | django.contrib.admin.options.history_view       | admin:django_celery_results_taskresult_history       | 
/wf/admin/django_celery_results/taskresult/add/                         | django.contrib.admin.options.add_view           | admin:django_celery_results_taskresult_add           | 
/wf/admin/jsi18n/                                                       | django.contrib.admin.sites.i18n_javascript      | admin:jsi18n                                         | 
/wf/admin/login/                                                        | django.contrib.admin.sites.login                | admin:login                                          | 
/wf/admin/logout/                                                       | django.contrib.admin.sites.logout               | admin:logout                                         | 
/wf/admin/password_change/                                              | django.contrib.admin.sites.password_change      | admin:password_change                                | 
/wf/admin/password_change/done/                                         | django.contrib.admin.sites.password_change_done | admin:password_change_done                           | 
/wf/admin/r/<int:content_type_id>/<path:object_id>/                     | django.contrib.contenttypes.views.shortcut      | admin:view_on_site                                   | 
/wf/api-auth/login/                                                     | django.contrib.auth.views.LoginView             | rest_framework:login                                 | 
